target_id,evidence_class,clock,schedule,nu_u,phase,u,impact_analytic,impact_numerical,diagnostic_residual
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0,0,0,0
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.002,0.025231325220201602,0.025231325220201602,0
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.0040000000000000001,0.035682482323055424,0.035682482323055424,0
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.0060000000000000001,0.043701937223683165,0.043701937223683165,0
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.0080000000000000002,0.050462650440403205,0.050462650440403205,0
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.01,0.056418958354775638,0.056418958354775638,0
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.012,0.061803872323710339,0.061803872323710339,0
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.014,0.066755811781245455,0.066755811781245455,0
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.016,0.071364964646110848,0.071364964646110834,-1.3877787807814457e-17
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.018000000000000002,0.075693975660604818,0.075693975660604804,-1.3877787807814457e-17
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.02,0.079788456080286535,0.079788456080286535,0
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.021999999999999999,0.083682838718840052,0.083682838718840039,-1.3877787807814457e-17
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.024,0.087403874447366331,0.087403874447366317,-1.3877787807814457e-17
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.026000000000000002,0.090972836829344608,0.090972836829344594,-1.3877787807814457e-17
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.028000000000000001,0.094406974388262968,0.094406974388262954,-1.3877787807814457e-17
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.029999999999999999,0.097720502380583996,0.097720502380583996,0
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.032000000000000001,0.10092530088080641,0.10092530088080641,0
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.034000000000000002,0.10403141895720198,0.10403141895720198,0
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.036000000000000004,0.10704744696916628,0.10704744696916628,0
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.037999999999999999,0.10998079684646792,0.10998079684646792,0
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.040000000000000001,0.11283791670955128,0.11283791670955128,0
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.042000000000000003,0.11562445770562219,0.11562445770562219,0
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.043999999999999997,0.11834540545406397,0.11834540545406397,0
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.045999999999999999,0.12100518486599809,0.12100518486599809,0
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.048000000000000001,0.12360774464742068,0.12360774464742069,1.3877787807814457e-17
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.050000000000000003,0.126156626101008,0.12615662610100803,2.7755575615628914e-17
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.052000000000000005,0.12865501965161374,0.12865501965161377,2.7755575615628914e-17
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.053999999999999999,0.13110581167104948,0.13110581167104951,2.7755575615628914e-17
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.056000000000000001,0.13351162356249091,0.13351162356249094,2.7755575615628914e-17
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.058000000000000003,0.13587484461319491,0.13587484461319493,2.7755575615628914e-17
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.059999999999999998,0.13819765978853421,0.13819765978853421,0
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.062,0.14048207338801283,0.14048207338801283,0
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.064000000000000001,0.1427299292922217,0.14272992929222167,-2.7755575615628914e-17
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.066000000000000003,0.14494292838262304,0.14494292838262302,-2.7755575615628914e-17
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.068000000000000005,0.14712264360219257,0.14712264360219254,-2.7755575615628914e-17
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.070000000000000007,0.14927053303604618,0.14927053303604615,-2.7755575615628914e-17
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.072000000000000008,0.15138795132120964,0.15138795132120958,-5.5511151231257827e-17
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.073999999999999996,0.1534761596392108,0.15347615963921074,-5.5511151231257827e-17
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.075999999999999998,0.15553633450087506,0.15553633450087501,-5.5511151231257827e-17
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.078,0.15756957549709802,0.15756957549709799,-2.7755575615628914e-17
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.080000000000000002,0.15957691216057307,0.15957691216057304,-2.7755575615628914e-17
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.082000000000000003,0.16155931006002358,0.16155931006002355,-2.7755575615628914e-17
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.084000000000000005,0.1635176762293252,0.16351767622932514,-5.5511151231257827e-17
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.086000000000000007,0.16545286401814266,0.1654528640181426,-5.5511151231257827e-17
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.087999999999999995,0.1673656774376801,0.16736567743768005,-5.5511151231257827e-17
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.089999999999999997,0.16925687506432691,0.16925687506432685,-5.5511151231257827e-17
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.091999999999999998,0.1711271735549581,0.17112717355495805,-5.5511151231257827e-17
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.094,0.17297725082008999,0.17297725082008999,0
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.096000000000000002,0.17480774889473266,0.17480774889473266,0
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.098000000000000004,0.17661927654141121,0.17661927654141121,0
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.10000000000000001,0.17841241161527713,0.17841241161527713,0
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.10200000000000001,0.18018770321735791,0.18018770321735791,0
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.10400000000000001,0.18194567365868922,0.18194567365868922,0
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.106,0.18368682025524263,0.18368682025524261,-2.7755575615628914e-17
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.108,0.18541161697113101,0.18541161697113101,0
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.11,0.18712051592547777,0.18712051592547777,0
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.112,0.18881394877652594,0.18881394877652594,0
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.114,0.19049232799499338,0.19049232799499338,0
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.11600000000000001,0.19215604803731712,0.19215604803731712,0
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.11800000000000001,0.19380548642824152,0.19380548642824152,0
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.12,0.19544100476116799,0.19544100476116799,0
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.122,0.19706294962377496,0.19706294962377496,0
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.124,0.19867165345562021,0.19867165345562018,-2.7755575615628914e-17
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.126,0.20026743534373637,0.20026743534373637,0
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.128,0.20185060176161282,0.20185060176161282,0
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.13,0.20342144725641101,0.20342144725641098,-2.7755575615628914e-17
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.13200000000000001,0.20498025508877771,0.20498025508877771,0
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.13400000000000001,0.20652729782919246,0.20652729782919246,0
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.13600000000000001,0.20806283791440397,0.20806283791440397,0
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.13800000000000001,0.20958712816717329,0.20958712816717329,0
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.14000000000000001,0.21110041228223764,0.21110041228223764,0
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.14200000000000002,0.21260292528114066,0.21260292528114066,0
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.14400000000000002,0.21409489393833256,0.21409489393833256,0
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.14599999999999999,0.21557653718072717,0.21557653718072717,0
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.14799999999999999,0.21704806646271013,0.21704806646271013,0
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.14999999999999999,0.21850968611841584,0.21850968611841584,0
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.152,0.21996159369293583,0.21996159369293583,0
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.154,0.22140398025397776,0.22140398025397778,2.7755575615628914e-17
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.156,0.22283703068536734,0.22283703068536737,2.7755575615628914e-17
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.158,0.22426092396366992,0.22426092396366992,0
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.16,0.22567583341910255,0.22567583341910255,0
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.16200000000000001,0.22708192698181442,0.22708192698181442,0
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.16400000000000001,0.2284793674145254,0.2284793674145254,0
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.16600000000000001,0.22986831253243512,0.22986831253243514,2.7755575615628914e-17
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.16800000000000001,0.23124891541124437,0.23124891541124437,0
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.17000000000000001,0.23262132458406393,0.23262132458406395,2.7755575615628914e-17
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.17200000000000001,0.23398568422792881,0.23398568422792884,2.7755575615628914e-17
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.17400000000000002,0.23534213434057999,0.23534213434058002,2.7755575615628914e-17
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.17599999999999999,0.23669081090812794,0.23669081090812796,2.7755575615628914e-17
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.17799999999999999,0.23803184606416586,0.23803184606416589,2.7755575615628914e-17
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.17999999999999999,0.23936536824085963,0.23936536824085966,2.7755575615628914e-17
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.182,0.24069150231250355,0.24069150231250358,2.7755575615628914e-17
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.184,0.24201036973199619,0.24201036973199619,0
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.186,0.24332208866065794,0.24332208866065794,0
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.188,0.24462677409178388,0.24462677409178388,0
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.19,0.24592453796829675,0.24592453796829675,0
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.192,0.24721548929484136,0.24721548929484136,0
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.19400000000000001,0.24849973424463737,0.24849973424463737,0
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.19600000000000001,0.24977737626138799,0.24977737626138796,-2.7755575615628914e-17
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.19800000000000001,0.25104851615652019,0.25104851615652019,0
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.20000000000000001,0.252313252202016,0.252313252202016,0
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.20200000000000001,0.25357168021907678,0.25357168021907672,-5.5511151231257827e-17
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.20400000000000001,0.25482389366284575,0.25482389366284569,-5.5511151231257827e-17
