target_id,evidence_class,alpha_L,lag,C_exact,C_mc_mean,C_mc_sd,absolute_error
F03,diagnostic_simulation,1.5,0,1,1,0,0
F03,diagnostic_simulation,1.5,1,0.48648755320481246,0.48877711783263333,0.013865075260213713,0.0022895646278208726
F03,diagnostic_simulation,1.5,2,0.35576849040905084,0.35941207437190525,0.01742108739223255,0.0036435839628544131
F03,diagnostic_simulation,1.5,3,0.29271837701812486,0.29662376354709863,0.018788607526630762,0.0039053865289737644
F03,diagnostic_simulation,1.5,4,0.25422447066009596,0.25846398870832382,0.020479931451326632,0.0042395180482278638
F03,diagnostic_simulation,1.5,5,0.22769285755204938,0.23136866319013955,0.021278724265393907,0.0036758056380901682
F03,diagnostic_simulation,1.5,6,0.20800886066768179,0.21216115175976014,0.021894261053946984,0.0041522910920783473
F03,diagnostic_simulation,1.5,7,0.19266582891160997,0.1970057641614881,0.02330704809591443,0.0043399352498781352
F03,diagnostic_simulation,1.5,8,0.1802754971484925,0.18387688070314648,0.024221027020238966,0.0036013835546539752
F03,diagnostic_simulation,1.5,9,0.16999982005427602,0.17393518606824729,0.024604590770566741,0.0039353660139712643
F03,diagnostic_simulation,1.5,10,0.16129942437569506,0.16628136754484349,0.024702785330776467,0.0049819431691484339
F03,diagnostic_simulation,1.5,11,0.15380952766379583,0.15866468548408633,0.02466811156023661,0.004855157820290501
F03,diagnostic_simulation,1.5,12,0.14727348671970764,0.15215235072406266,0.024775350218986105,0.0048788640043550269
F03,diagnostic_simulation,1.5,13,0.14150482724539742,0.1468426092297363,0.024700449132680855,0.0053377819843388741
F03,diagnostic_simulation,1.5,14,0.13636437950250216,0.14234730858734215,0.024165697844688253,0.0059829290848399941
F03,diagnostic_simulation,1.5,15,0.13174590030656361,0.13698217289960288,0.024400195811609082,0.0052362725930392706
F03,diagnostic_simulation,1.5,16,0.12756669589618611,0.13291502624671916,0.02519978930590017,0.0053483303505330593
F03,diagnostic_simulation,1.5,17,0.12376131314987039,0.1294010155382696,0.025695655111808484,0.005639702388399212
F03,diagnostic_simulation,1.5,18,0.12027717965147197,0.12695421285946454,0.026545864276034642,0.0066770332079925665
F03,diagnostic_simulation,1.5,19,0.11707151919589182,0.12380257510729614,0.025429437970712405,0.0067310559114043267
F03,diagnostic_simulation,1.5,20,0.11410912418383255,0.12041533777906641,0.025523874403249307,0.0063062135952338533
F03,diagnostic_simulation,1.5,21,0.11136071717876324,0.11719116597933033,0.026268773892042702,0.0058304488005670868
F03,diagnostic_simulation,1.5,22,0.10880172596655699,0.11464413517369773,0.025972630669619804,0.0058424092071407419
F03,diagnostic_simulation,1.5,23,0.10641135422477405,0.11232598685339976,0.027092420977140923,0.00591463262862571
F03,diagnostic_simulation,1.5,24,0.10417186705420012,0.10950900350984283,0.027050987910193596,0.0053371364556427103
F03,diagnostic_simulation,1.5,25,0.10206803504388552,0.10666720077522042,0.027284459440850766,0.0045991657313348977
F03,diagnostic_simulation,1.5,26,0.10008669691645068,0.10518068198292373,0.027446007869482224,0.0050939850664730446
F03,diagnostic_simulation,1.5,27,0.098216411982841881,0.10262688036258616,0.027329338208922881,0.0044104683797442784
F03,diagnostic_simulation,1.5,28,0.096447181399162793,0.10125001907552381,0.028004796474496114,0.0048028376763610131
F03,diagnostic_simulation,1.5,29,0.0947702226902635,0.099631840985826836,0.026795361025510802,0.0048616182955633358
F03,diagnostic_simulation,1.5,30,0.093177785915839417,0.097628322027819972,0.02751995168198916,0.0044505361119805548
F03,diagnostic_simulation,1.5,31,0.091663002686334011,0.096515624940388303,0.027419453592224745,0.0048526222540542924
F03,diagnostic_simulation,1.5,32,0.090219761310467619,0.095010911366133571,0.027712351314638548,0.004791150055665952
F03,diagnostic_simulation,1.5,33,0.088842602893004163,0.09455154495614454,0.029335371083052713,0.0057089420631403764
F03,diagnostic_simulation,1.5,34,0.087526634351575761,0.09378886726946703,0.028975420943513026,0.0062622329178912695
F03,diagnostic_simulation,1.5,35,0.086267455190560685,0.091633633335749629,0.028726656393904357,0.0053661781451889434
F03,diagnostic_simulation,1.5,36,0.08506109553275687,0.090892876218963178,0.028914214860691016,0.0058317806862063087
F03,diagnostic_simulation,1.5,37,0.083903963419191763,0.089990919738885261,0.029325629998341818,0.0060869563196934984
F03,diagnostic_simulation,1.5,38,0.082792799782380827,0.089605922794594561,0.029011165841547889,0.0068131230122137343
F03,diagnostic_simulation,1.5,39,0.081724639806755414,0.087953301157932887,0.029165778726116996,0.0062286613511774724
F03,diagnostic_simulation,1.5,40,0.080696779632490168,0.086931141836828124,0.02863384355757877,0.0062343622043379565
F03,diagnostic_simulation,1.5,41,0.079706747550933599,0.086133123237811096,0.029627342445779688,0.0064263756868774974
